sim_idx,tasks_full_idx,task_id,reward,category,warning_fired,lines_looked_up,l1001_lookups,write_actions_on_lines,failed_env_assertions,failed_actions,passed_actions,refuel_gb_amount
10,83,[mobile_data_issue]bad_network_preference|bad_vpn|user_abroad_roaming_disabled_on[PERSONA:None],0,E_missed_troubleshooting,True,L1001;L1002,1,"{""enable_roaming"": ""L1002""}",assert_internet_speed,disconnect_vpn,set_network_mode_preference;enable_roaming,
11,73,[mobile_data_issue]bad_network_preference|bad_vpn|user_abroad_roaming_enabled_off[PERSONA:Easy],0,E_missed_troubleshooting,True,L1001;L1002,1,,assert_internet_speed,disconnect_vpn,set_network_mode_preference;toggle_roaming,
12,93,[mobile_data_issue]bad_network_preference|bad_vpn|user_abroad_roaming_disabled_off[PERSONA:Hard],0,E_missed_troubleshooting,True,L1001;L1002,1,"{""enable_roaming"": ""L1002""}",assert_internet_speed,disconnect_vpn,set_network_mode_preference;enable_roaming;toggle_roaming,
13,81,[mobile_data_issue]bad_vpn|data_saver_mode_on|user_abroad_roaming_disabled_on[PERSONA:None],1.0,PASS,True,L1001;L1002,1,"{""enable_roaming"": ""L1002""}",,,disconnect_vpn;toggle_data_saver_mode;enable_roaming,
14,117,[mobile_data_issue]airplane_mode_on|bad_network_preference|data_mode_off|user_abroad_roaming_disabled_on[PERSONA:Hard],1.0,PASS,True,L1001;L1002,1,"{""enable_roaming"": ""L1002""}",,,toggle_airplane_mode;set_network_mode_preference;toggle_data;enable_roaming,
15,136,[mobile_data_issue]airplane_mode_on|bad_network_preference|data_mode_off|data_saver_mode_on[PERSONA:Hard],0,E_missed_troubleshooting,False,,0,,assert_internet_speed,toggle_data_saver_mode,toggle_airplane_mode;set_network_mode_preference;toggle_data,
16,89,[mobile_data_issue]data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Hard],1.0,PASS,True,L1001;L1002,1,"{""enable_roaming"": ""L1002"", ""refuel_data"": ""L1002""}",,,toggle_data;refuel_data;enable_roaming;toggle_roaming,2.0
17,176,[mobile_data_issue]bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on[PERSONA:None],1.0,PASS,False,,0,,,,set_network_mode_preference;disconnect_vpn;toggle_data;toggle_data_saver_mode,
18,103,[mobile_data_issue]bad_network_preference|data_saver_mode_on|data_usage_exceeded[PERSONA:Hard],1.0,PASS,False,L1002,0,"{""refuel_data"": ""L1002""}",,,set_network_mode_preference;toggle_data_saver_mode;refuel_data,2.0
19,134,[mobile_data_issue]airplane_mode_on|bad_network_preference|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Easy],1.0,PASS,True,L1001;L1002,1,"{""enable_roaming"": ""L1002"", ""refuel_data"": ""L1002""}",,,toggle_airplane_mode;set_network_mode_preference;refuel_data;enable_roaming;toggle_roaming,2.0
20,171,[mobile_data_issue]bad_vpn|data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:None],1.0,PASS,True,L1001;L1002,1,"{""enable_roaming"": ""L1002"", ""refuel_data"": ""L1002""}",,,disconnect_vpn;toggle_data;refuel_data;enable_roaming;toggle_roaming,2.0
21,175,[mobile_data_issue]bad_network_preference|bad_vpn|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Easy],1.0,PASS,True,L1001;L1002,1,"{""enable_roaming"": ""L1002"", ""refuel_data"": ""L1002""}",,,set_network_mode_preference;disconnect_vpn;refuel_data;enable_roaming;toggle_roaming,2.0
22,195,[mobile_data_issue]airplane_mode_on|bad_network_preference|data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None],1.0,PASS,True,L1001;L1002,1,"{""enable_roaming"": ""L1002"", ""refuel_data"": ""L1002""}",,,toggle_airplane_mode;set_network_mode_preference;toggle_data;refuel_data;enable_roaming,2.0
23,183,[mobile_data_issue]airplane_mode_on|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:Hard],1.0,PASS,True,L1001;L1002,1,"{""refuel_data"": ""L1002""}",,,toggle_airplane_mode;toggle_data;toggle_data_saver_mode;refuel_data;toggle_roaming,2.0
24,197,[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_saver_mode_on|user_abroad_roaming_disabled_on[PERSONA:Easy],0,E_missed_troubleshooting,True,L1001;L1002,1,"{""enable_roaming"": ""L1002""}",assert_internet_speed,toggle_data_saver_mode,toggle_airplane_mode;set_network_mode_preference;disconnect_vpn;enable_roaming,
25,230,[mobile_data_issue]bad_network_preference|bad_vpn|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Easy],0,E_missed_troubleshooting,True,L1001;L1002,1,"{""enable_roaming"": ""L1002"", ""refuel_data"": ""L1002""}",assert_internet_speed,disconnect_vpn,set_network_mode_preference;toggle_data_saver_mode;refuel_data;enable_roaming;toggle_roaming,2.0
26,236,[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:None],1.0,PASS,True,L1001;L1002,1,"{""refuel_data"": ""L1002""}",,,toggle_airplane_mode;set_network_mode_preference;disconnect_vpn;toggle_data_saver_mode;refuel_data;toggle_roaming,2.0
27,238,[mobile_data_issue]airplane_mode_on|bad_network_preference|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None],0,E_missed_troubleshooting,True,L1001;L1002,1,"{""enable_roaming"": ""L1002"", ""refuel_data"": ""L1002""}",assert_internet_speed,toggle_data_saver_mode,toggle_airplane_mode;set_network_mode_preference;toggle_data;refuel_data;enable_roaming,2.0
28,248,[mobile_data_issue]bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:Easy],1.0,PASS,True,L1001;L1002,1,"{""refuel_data"": ""L1002""}",,,set_network_mode_preference;disconnect_vpn;toggle_data;toggle_data_saver_mode;refuel_data;toggle_roaming,2.0
29,242,[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|user_abroad_roaming_disabled_off[PERSONA:Hard],0,H_other,True,L1001;L1002,2,"{""enable_roaming"": ""L1002""}",assert_mobile_data_status;assert_internet_speed,,toggle_airplane_mode;set_network_mode_preference;disconnect_vpn;toggle_data;toggle_data_saver_mode;enable_roaming;toggle_roaming,
30,251,[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:Easy],1.0,PASS,True,L1001;L1002,1,"{""refuel_data"": ""L1002""}",,,toggle_airplane_mode;set_network_mode_preference;disconnect_vpn;toggle_data;toggle_data_saver_mode;refuel_data;toggle_roaming,2.0
31,253,[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Hard],0,D_never_refueled,True,L1001;L1002,1,"{""enable_roaming"": ""L1002""}",assert_mobile_data_status;assert_internet_speed;assert_data_refueling_amount,refuel_data,toggle_airplane_mode;set_network_mode_preference;disconnect_vpn;toggle_data;toggle_data_saver_mode;enable_roaming;toggle_roaming,
32,260,[service_issue]airplane_mode_on|unseat_sim_card[PERSONA:None],1.0,PASS,False,L1002,0,,,,toggle_airplane_mode;reseat_sim_card,
33,227,[mobile_data_issue]bad_network_preference|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Easy],0,B_infinite_loop,True,L1001;L1002,4,"{""enable_roaming"": ""L1002"", ""refuel_data"": ""L1002""}",assert_data_refueling_amount,,set_network_mode_preference;toggle_data;toggle_data_saver_mode;refuel_data;enable_roaming;toggle_roaming,2.0
34,261,[service_issue]airplane_mode_on|lock_sim_card_pin[PERSONA:Easy],1.0,PASS,False,L1002,0,,,,transfer_to_human_agents,
35,262,[service_issue]airplane_mode_on|break_apn_settings[PERSONA:Hard],1.0,PASS,False,,0,,,,toggle_airplane_mode;reset_apn_settings;reboot_device,
36,263,[service_issue]airplane_mode_on|overdue_bill_suspension[PERSONA:None],1.0,PASS,False,L1002,0,"{""resume_line"": ""L1002""}",,,toggle_airplane_mode;send_payment_request;make_payment;resume_line;reboot_device,
37,267,[service_issue]overdue_bill_suspension|unseat_sim_card[PERSONA:Easy],1.0,PASS,False,L1002,0,"{""resume_line"": ""L1002""}",,,send_payment_request;make_payment;resume_line;reboot_device;reseat_sim_card,
38,268,[service_issue]contract_end_suspension|unseat_sim_card[PERSONA:Hard],1.0,PASS,False,L1002,0,"{""resume_line"": ""L1002""}",,,transfer_to_human_agents,
39,270,[service_issue]lock_sim_card_pin|overdue_bill_suspension[PERSONA:Easy],1.0,PASS,False,L1002,0,"{""resume_line"": ""L1002""}",,,transfer_to_human_agents,
40,269,[service_issue]break_apn_settings|lock_sim_card_pin[PERSONA:None],1.0,PASS,False,,0,,,,transfer_to_human_agents,
41,271,[service_issue]contract_end_suspension|lock_sim_card_pin[PERSONA:Hard],1.0,PASS,False,,0,"{""resume_line"": ""L1002""}",,,transfer_to_human_agents,
42,274,[service_issue]airplane_mode_on|lock_sim_card_pin|unseat_sim_card[PERSONA:Hard],1.0,PASS,True,L1001;L1002,1,,,,transfer_to_human_agents,
43,276,[service_issue]airplane_mode_on|overdue_bill_suspension|unseat_sim_card[PERSONA:Easy],1.0,PASS,False,,0,"{""resume_line"": ""L1002""}",,,toggle_airplane_mode;send_payment_request;make_payment;resume_line;reboot_device;reseat_sim_card,
44,275,[service_issue]airplane_mode_on|break_apn_settings|unseat_sim_card[PERSONA:None],0,F_missed_user_action,True,L1001;L1002,1,,assert_service_status,reset_apn_settings;reboot_device,toggle_airplane_mode;reseat_sim_card,
45,208,[mobile_data_issue]airplane_mode_on|bad_network_preference|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:None],0,B_infinite_loop,True,L1001;L1002,4,"{""enable_roaming"": ""L1002"", ""refuel_data"": ""L1002""}",,,,2.0
46,278,[service_issue]airplane_mode_on|break_apn_settings|lock_sim_card_pin[PERSONA:None],1.0,PASS,False,,0,,,,transfer_to_human_agents,
47,279,[service_issue]airplane_mode_on|lock_sim_card_pin|overdue_bill_suspension[PERSONA:Easy],1.0,PASS,False,,0,"{""resume_line"": ""L1002""}",,,transfer_to_human_agents,
48,281,[service_issue]airplane_mode_on|break_apn_settings|overdue_bill_suspension[PERSONA:None],1.0,PASS,False,,0,"{""resume_line"": ""L1002""}",,,toggle_airplane_mode;reset_apn_settings;reboot_device;send_payment_request;make_payment;resume_line;reboot_device,
49,235,[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:Easy],0,B_infinite_loop,True,L1001;L1002,4,"{""refuel_data"": ""L1002""}",,,,2.0
50,288,[service_issue]break_apn_settings|lock_sim_card_pin|overdue_bill_suspension[PERSONA:Easy],1.0,PASS,False,,0,"{""resume_line"": ""L1002""}",,,transfer_to_human_agents,
51,286,[service_issue]break_apn_settings|overdue_bill_suspension|unseat_sim_card[PERSONA:Hard],1.0,PASS,False,,0,"{""resume_line"": ""L1002""}",,,reset_apn_settings;reboot_device;send_payment_request;make_payment;resume_line;reboot_device;reseat_sim_card,
52,289,[service_issue]break_apn_settings|contract_end_suspension|lock_sim_card_pin[PERSONA:Hard],1.0,PASS,False,L1002,0,,,,transfer_to_human_agents,
53,291,[service_issue]airplane_mode_on|lock_sim_card_pin|overdue_bill_suspension|unseat_sim_card[PERSONA:Easy],1.0,PASS,False,L1002,0,"{""resume_line"": ""L1002""}",,,transfer_to_human_agents,
54,290,[service_issue]airplane_mode_on|break_apn_settings|lock_sim_card_pin|unseat_sim_card[PERSONA:None],1.0,PASS,False,L1002,0,,,,transfer_to_human_agents,
55,292,[service_issue]airplane_mode_on|contract_end_suspension|lock_sim_card_pin|unseat_sim_card[PERSONA:Hard],1.0,PASS,False,,0,"{""resume_line"": ""L1002""}",,,transfer_to_human_agents,
56,295,[service_issue]airplane_mode_on|break_apn_settings|lock_sim_card_pin|overdue_bill_suspension[PERSONA:Hard],1.0,PASS,False,L1002,0,"{""resume_line"": ""L1002""}",,,transfer_to_human_agents,
57,252,[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None],0,B_infinite_loop,True,L1001;L1002,4,"{""enable_roaming"": ""L1002"", ""refuel_data"": ""L1002""}",,,,2.0
58,296,[service_issue]airplane_mode_on|break_apn_settings|contract_end_suspension|lock_sim_card_pin[PERSONA:None],1.0,PASS,False,L1002,0,,,,transfer_to_human_agents,
59,294,[service_issue]airplane_mode_on|break_apn_settings|contract_end_suspension|unseat_sim_card[PERSONA:Easy],1.0,PASS,False,,0,"{""resume_line"": ""L1002""}",,,transfer_to_human_agents,
60,297,[service_issue]break_apn_settings|lock_sim_card_pin|overdue_bill_suspension|unseat_sim_card[PERSONA:Easy],1.0,PASS,False,L1002,0,"{""resume_line"": ""L1002""}",,,transfer_to_human_agents,
61,299,[service_issue]airplane_mode_on|break_apn_settings|lock_sim_card_pin|overdue_bill_suspension|unseat_sim_card[PERSONA:None],0,G_missed_transfer,False,L1002,0,"{""resume_line"": ""L1002""}",,transfer_to_human_agents,,
62,298,[service_issue]break_apn_settings|contract_end_suspension|lock_sim_card_pin|unseat_sim_card[PERSONA:Hard],1.0,PASS,False,L1002,0,"{""resume_line"": ""L1002""}",,,transfer_to_human_agents,
63,300,[service_issue]airplane_mode_on|break_apn_settings|contract_end_suspension|lock_sim_card_pin|unseat_sim_card[PERSONA:Easy],1.0,PASS,False,L1002,0,"{""resume_line"": ""L1002""}",,,transfer_to_human_agents,
64,293,[service_issue]airplane_mode_on|break_apn_settings|overdue_bill_suspension|unseat_sim_card[PERSONA:None],0,H_other,False,,0,"{""resume_line"": ""L1002""}",,,,
65,312,[mms_issue]airplane_mode_on|break_app_both_permissions[PERSONA:Hard],1.0,PASS,True,L1001;L1002,1,,,,toggle_airplane_mode;grant_app_permission;grant_app_permission,
66,322,[mms_issue]break_app_sms_permission|data_mode_off[PERSONA:None],1.0,PASS,False,,0,,,,grant_app_permission;toggle_data,
67,337,[mms_issue]bad_network_preference|user_abroad_roaming_disabled_on[PERSONA:None],1.0,PASS,True,L1001;L1002,1,"{""enable_roaming"": ""L1002""}",,,set_network_mode_preference;enable_roaming,
68,333,[mms_issue]break_apn_mms_setting|user_abroad_roaming_enabled_off[PERSONA:Hard],1.0,PASS,True,L1001;L1002,1,,,,reset_apn_settings;reboot_device;toggle_roaming,
69,329,[mms_issue]break_app_storage_permission|data_usage_exceeded[PERSONA:Easy],0,C_refuel_wrong_amount,True,L1001;L1002,1,"{""refuel_data"": ""L1002""}",assert_data_refueling_amount,refuel_data,grant_app_permission,0.1
70,343,[mms_issue]bad_network_preference|user_abroad_roaming_disabled_off[PERSONA:None],0,F_missed_user_action,True,L1001;L1002,1,"{""enable_roaming"": ""L1002""}",assert_can_send_mms,toggle_roaming,set_network_mode_preference;enable_roaming,
71,330,[mms_issue]break_app_both_permissions|data_usage_exceeded[PERSONA:Hard],0,C_refuel_wrong_amount,True,L1001;L1002,1,"{""refuel_data"": ""L1002""}",assert_can_send_mms;assert_data_refueling_amount,refuel_data,grant_app_permission;grant_app_permission,0.1
72,353,[mms_issue]bad_network_preference|break_app_both_permissions[PERSONA:Easy],1.0,PASS,True,L1001;L1002,1,,,,set_network_mode_preference;grant_app_permission;grant_app_permission,
73,373,[mms_issue]airplane_mode_on|bad_network_preference|data_usage_exceeded[PERSONA:None],0,C_refuel_wrong_amount,True,L1001;L1002,1,"{""refuel_data"": ""L1002""}",assert_can_send_mms;assert_data_refueling_amount,refuel_data,toggle_airplane_mode;set_network_mode_preference,0.1
74,380,[mms_issue]airplane_mode_on|bad_wifi_calling|user_abroad_roaming_enabled_off[PERSONA:Easy],0,A_wrong_line_write,True,L1001;L1002,1,"{""enable_roaming"": ""L1001""}",assert_can_send_mms,toggle_wifi_calling,toggle_airplane_mode;toggle_roaming,
75,465,[mms_issue]break_apn_mms_setting|data_mode_off|user_abroad_roaming_disabled_on[PERSONA:Hard],1.0,PASS,True,L1001;L1002,1,"{""enable_roaming"": ""L1002""}",,,reset_apn_settings;reboot_device;toggle_data;enable_roaming,
76,452,[mms_issue]bad_wifi_calling|data_mode_off|data_usage_exceeded[PERSONA:Easy],0,C_refuel_wrong_amount,True,L1001;L1002,1,"{""refuel_data"": ""L1002""}",assert_can_send_mms;assert_data_refueling_amount,refuel_data,toggle_wifi_calling;toggle_data,0.1
77,496,[mms_issue]break_app_sms_permission|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None],0,D_never_refueled,True,L1001;L1002,1,"{""enable_roaming"": ""L1002""}",assert_can_send_mms;assert_data_refueling_amount,grant_app_permission;refuel_data,enable_roaming,
78,432,[mms_issue]break_app_both_permissions|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard],1.0,PASS,True,L1001;L1002,1,"{""enable_roaming"": ""L1002""}",,,grant_app_permission;grant_app_permission;reseat_sim_card;enable_roaming,
79,531,[mms_issue]bad_network_preference|break_app_sms_permission|user_abroad_roaming_disabled_on[PERSONA:Hard],0,E_missed_troubleshooting,True,L1001;L1002,1,"{""enable_roaming"": ""L1002""}",assert_can_send_mms,grant_app_permission,set_network_mode_preference;enable_roaming,
80,712,[mms_issue]airplane_mode_on|bad_network_preference|break_apn_mms_setting|break_app_storage_permission[PERSONA:None],1.0,PASS,True,L1001;L1002,1,,,,toggle_airplane_mode;set_network_mode_preference;reset_apn_settings;reboot_device;grant_app_permission,
81,660,[mms_issue]airplane_mode_on|bad_network_preference|break_apn_mms_setting|data_usage_exceeded[PERSONA:Hard],0,D_never_refueled,False,,0,,assert_can_send_mms;assert_data_refueling_amount,refuel_data,toggle_airplane_mode;set_network_mode_preference;reset_apn_settings;reboot_device,
82,658,[mms_issue]airplane_mode_on|break_app_both_permissions|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:None],0,C_refuel_wrong_amount,True,L1001;L1002,1,"{""enable_roaming"": ""L1002"", ""refuel_data"": ""L1002""}",assert_can_send_mms;assert_data_refueling_amount,refuel_data,toggle_airplane_mode;grant_app_permission;grant_app_permission;enable_roaming;toggle_roaming,0.1
83,788,[mms_issue]bad_wifi_calling|break_apn_mms_setting|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy],0,E_missed_troubleshooting,True,L1001;L1002,1,,assert_can_send_mms,toggle_wifi_calling,reset_apn_settings;reboot_device;reseat_sim_card;toggle_roaming,
84,948,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_usage_exceeded[PERSONA:Hard],0,D_never_refueled,False,,0,,assert_can_send_mms;assert_data_refueling_amount,grant_app_permission;refuel_data,toggle_wifi_calling;reset_apn_settings;reboot_device,
85,837,[mms_issue]break_apn_mms_setting|data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:Hard],0,C_refuel_wrong_amount,True,L1001;L1002,1,"{""enable_roaming"": ""L1002"", ""refuel_data"": ""L1002""}",assert_can_send_mms;assert_data_refueling_amount,refuel_data,reset_apn_settings;reboot_device;toggle_data;enable_roaming,0.1
86,431,[mms_issue]break_app_storage_permission|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Easy],1.0,PASS,True,L1001;L1002,59,"{""enable_roaming"": ""L1002""}",,,grant_app_permission;reseat_sim_card;enable_roaming,
87,1088,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_app_storage_permission|unseat_sim_card[PERSONA:Hard],0,E_missed_troubleshooting,True,L1001;L1002,1,,assert_can_send_mms,toggle_wifi_calling,toggle_airplane_mode;set_network_mode_preference;grant_app_permission;reseat_sim_card,
88,1129,[mms_issue]airplane_mode_on|bad_network_preference|break_app_storage_permission|data_mode_off|user_abroad_roaming_enabled_off[PERSONA:Easy],1.0,PASS,True,L1001;L1002,1,,,,toggle_airplane_mode;set_network_mode_preference;grant_app_permission;toggle_data;toggle_roaming,
89,1408,[mms_issue]bad_network_preference|break_app_sms_permission|data_mode_off|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:None],0,C_refuel_wrong_amount,True,L1001;L1002,1,"{""refuel_data"": ""L1002""}",assert_can_send_mms;assert_data_refueling_amount,grant_app_permission;refuel_data,set_network_mode_preference;toggle_data;toggle_roaming,0.1
90,1274,[mms_issue]bad_wifi_calling|break_apn_mms_setting|data_mode_off|data_usage_exceeded|unseat_sim_card[PERSONA:None],0,C_refuel_wrong_amount,True,L1001;L1002,1,"{""refuel_data"": ""L1002""}",assert_can_send_mms;assert_data_refueling_amount,refuel_data,toggle_wifi_calling;reset_apn_settings;reboot_device;toggle_data;reseat_sim_card,0.1
91,1508,[mms_issue]bad_network_preference|bad_wifi_calling|break_app_both_permissions|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Hard],0,D_never_refueled,True,L1001;L1002,1,"{""enable_roaming"": ""L1002""}",assert_can_send_mms;assert_data_refueling_amount,grant_app_permission;refuel_data,set_network_mode_preference;toggle_wifi_calling;grant_app_permission;enable_roaming;toggle_roaming,
92,1615,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Easy],0,D_never_refueled,True,L1001;L1002,1,"{""enable_roaming"": ""L1002""}",assert_can_send_mms;assert_data_refueling_amount,toggle_wifi_calling;refuel_data;reseat_sim_card,toggle_airplane_mode;set_network_mode_preference;enable_roaming,
93,463,[mms_issue]bad_network_preference|data_mode_off|user_abroad_roaming_disabled_on[PERSONA:None],0,B_infinite_loop,True,L1001;L1002,93,"{""enable_roaming"": ""L1002""}",,,,
94,1582,[mms_issue]airplane_mode_on|bad_network_preference|break_apn_mms_setting|data_mode_off|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Easy],1.0,PASS,True,L1001;L1002,1,"{""enable_roaming"": ""L1002""}",,,toggle_airplane_mode;set_network_mode_preference;reset_apn_settings;reboot_device;toggle_data;reseat_sim_card;enable_roaming;toggle_roaming,
95,1619,[mms_issue]airplane_mode_on|bad_network_preference|break_app_both_permissions|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard],0,C_refuel_wrong_amount,True,L1001;L1002,1,"{""enable_roaming"": ""L1002"", ""refuel_data"": ""L1002""}",assert_can_send_mms;assert_data_refueling_amount,grant_app_permission;refuel_data,toggle_airplane_mode;set_network_mode_preference;grant_app_permission;reseat_sim_card;enable_roaming,1.0
96,1850,[mms_issue]bad_network_preference|bad_wifi_calling|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],1.0,PASS,False,,0,"{""enable_roaming"": ""L1001""}",,,set_network_mode_preference;toggle_wifi_calling;grant_app_permission;toggle_data;reseat_sim_card;toggle_roaming,
97,2102,[mms_issue]airplane_mode_on|bad_network_preference|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:None],0,D_never_refueled,True,L1001;L1002,1,,assert_can_send_mms;assert_data_refueling_amount,grant_app_permission;refuel_data;toggle_roaming,toggle_airplane_mode;set_network_mode_preference;reset_apn_settings;reboot_device;grant_app_permission;toggle_data,
98,1983,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],0,D_never_refueled,True,L1001;L1002,1,,assert_can_send_mms;assert_data_refueling_amount,refuel_data,toggle_airplane_mode;toggle_wifi_calling;grant_app_permission;grant_app_permission;toggle_data;reseat_sim_card;toggle_roaming,
99,2089,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],0,E_missed_troubleshooting,True,L1001;L1002,1,,assert_can_send_mms,toggle_wifi_calling;grant_app_permission,toggle_airplane_mode;set_network_mode_preference;reset_apn_settings;reboot_device;grant_app_permission;reseat_sim_card;toggle_roaming,
100,1905,[mms_issue]bad_network_preference|bad_wifi_calling|break_app_both_permissions|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:None],0,C_refuel_wrong_amount,True,L1001;L1002,1,"{""enable_roaming"": ""L1002"", ""refuel_data"": ""L1002""}",assert_can_send_mms;assert_data_refueling_amount,refuel_data;toggle_roaming,set_network_mode_preference;toggle_wifi_calling;grant_app_permission;grant_app_permission;reseat_sim_card;enable_roaming,1.0
101,1953,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:None],0,C_refuel_wrong_amount,True,L1001;L1002,1,"{""enable_roaming"": ""L1002"", ""refuel_data"": ""L1002""}",assert_can_send_mms;assert_data_refueling_amount,refuel_data;toggle_roaming,toggle_wifi_calling;reset_apn_settings;reboot_device;grant_app_permission;grant_app_permission;toggle_data;enable_roaming,0.1
